izdelek,2018,2019,2020,2021,2022,2023,2024,kategorija
Baterija alkalna 1.5 V (kos),1.09,1.09,1.07,1.07,1.01,1.03,1.08, ORODJE IN OPREMA ZA HIŠO IN VRT
Pralni prašek za strojno pranje perila (kg),2.67,2.69,2.74,2.7,3.47,3.87,3.8, BLAGO IN STORITVE ZA TEKOČE VZDRŽEVANJE STANOVANJ
Tekoči detergent za ročno pomivanje posode  500 - 1000 ml (l),2.16,2.09,2.14,2.2,2.5,3.22,3.35, BLAGO IN STORITVE ZA TEKOČE VZDRŽEVANJE STANOVANJ
Sredstvo za strojno pomivanje posode  20 - 80 tbl (10 tbl),1.61,1.59,1.59,1.67,1.78,2.13,2.13, BLAGO IN STORITVE ZA TEKOČE VZDRŽEVANJE STANOVANJ
Tekoče kremno čistilo abrazivno 450 - 750 ml (l),2.45,2.57,2.59,2.61,2.92,3.37,3.68, BLAGO IN STORITVE ZA TEKOČE VZDRŽEVANJE STANOVANJ
Papirnate brisače paket  2 - 4 kosi (2 kosa),1.09,1.2,1.33,1.5,1.76,2.02,2.01, BLAGO IN STORITVE ZA TEKOČE VZDRŽEVANJE STANOVANJ
Analgetik (Aspirin) 20 tablet (škatla),5.71,5.72,5.79,5.87,6.01,6.37,6.6, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Gastro (Rupurut) 20 tablet (škatla),6.41,6.48,6.48,6.55,6.79,7.64,8.08, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Sirup za blaženje kašlja za odrasle 150 - 200 ml  steklenička (kos),6.98,7.14,7.17,7.27,7.65,8.43,9.27, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Vitamin C (20 tbl),4.25,4.25,4.26,4.26,4.34,4.74,4.76, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Nosečniški test (kos),4.39,4.19,4.18,4.43,4.54,4.62,4.56, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Perservativi 3 kosi (škatla),2.38,2.58,2.41,2.54,2.54,2.75,3.04, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Termometer osebni  digitalni (kos),7.56,7.6,7.64,8,8.78,8.98,9.76, MEDICINSKI PROIZVODI PRIPOMOČKI IN OPREMA
Nov osebni avtomobil - Renault Clio (kos),12278.34,12446.62,12400.77,13642.96,15135.11,16116.73,16500.42, NAKUP PREVOZNIH SREDSTEV
Nov osebni avtomobil - VW Polo (kos),14045.83,14901.42,15205.47,15945.06,17586.33,18745.28,19194.05, NAKUP PREVOZNIH SREDSTEV
Kolo za odrasle  26''  (kos),236.68,238.99,248.39,268.11,303.45,304.29,325.11, NAKUP PREVOZNIH SREDSTEV
Avtomobilski plašč 205/55 R 16 (91) (kos),69.48,71.3,70.46,68.71,78.48,86.3,83.6, PROIZVODI IN STORITVE ZA OSEBNA VOZILA
Dieselsko gorivo (l),1.28,1.251,1.063,1.274,1.641,1.545,1.524, PROIZVODI IN STORITVE ZA OSEBNA VOZILA
Motorni bencin NMB 100 (l),1.448,1.415,1.207,1.384,1.829,1.734,1.757, PROIZVODI IN STORITVE ZA OSEBNA VOZILA
Motorni bencin NMB 95 (l),1.323,1.286,1.068,1.219,1.499,1.452,1.491, PROIZVODI IN STORITVE ZA OSEBNA VOZILA
Pranje osebnega avtomobila z normalnim detergentom + voskanje (poliranje) (storitev),7.69,7.97,8.39,8.73,9.3,10.19,10.78, PROIZVODI IN STORITVE ZA OSEBNA VOZILA
Tehnični pregled za osebni avtomobil  znesek (storitev),33.97,34.82,34.99,34.99,34.99,36.3,37.38, PROIZVODI IN STORITVE ZA OSEBNA VOZILA
Mestni avtobusni prevoz potnikov povprečje cen vožnja (vozovnica),1.1,1.13,1.17,1.14,1.14,1.16,1.23, PREVOZNE STORITVE
Poštnina za paket  2 - 5 kg (kos),4.45,4.45,4.57,4.69,4.82,5.5,6.03, POŠTNE STORITVE
Televizor (kos),483.95,387.84,349.21,541.09,519.21,515.07,555.92, AVDIOVIZUALNA IN FOTOGRAFSKA OPREMA TER OPREMA ZA OBDELAVO PODATKOV
Digitalni zrcalno-refleksni fotoaparat (kos),-,-,-,-,-,-,841.68,Digitalni fotoaparat kompaktni (kos)
Pametna športna ura (kos),-,-,-,167.6,179.26,207.9,232.94,Prenosni računalnik (kos)
Kocke  v škatli ali vedru za starost 4+ (kos),24.06,24.22,23.6,23.02,21.56,21.69,22.13, DRUGI REKREACIJSKI PREDMETI VRTNARJENJE IN MALE ŽIVALI
Žoga iz usnja nogometna številka 5 (kos),17.52,19.02,16.53,16.68,17.76,18.97,19.11, DRUGI REKREACIJSKI PREDMETI VRTNARJENJE IN MALE ŽIVALI
Nahrbtnik iz nepremočljivega materiala  35 - 70 l (kos),77.07,85.84,85.12,87.96,87.43,99.71,103.69, DRUGI REKREACIJSKI PREDMETI VRTNARJENJE IN MALE ŽIVALI
Zemlja za rože  10 - 50 l (10 l),1.73,1.81,1.87,1.92,2.03,2.25,2.29, DRUGI REKREACIJSKI PREDMETI VRTNARJENJE IN MALE ŽIVALI
Suha hrana za pse briketi 2 - 4 kg (kg),1.65,2.03,2.04,2.14,2.49,3.13,2.87, DRUGI REKREACIJSKI PREDMETI VRTNARJENJE IN MALE ŽIVALI
Obisk fitnes studia z vpisnino možnost obiska čez cel dan mesečni znesek (storitev),55.31,55.62,55.64,56.75,58.95,59.72,61.51, REKREACIJSKE IN KULTURNE STORITVE
Obisk kina  predstava (vstopnica),5.64,5.81,5.96,5.98,6.09,6.59,7.23, REKREACIJSKE IN KULTURNE STORITVE
Obisk gledališča redna predstava (vstopnica),15.23,15.26,15.8,16.34,16.4,17.32,18.4, REKREACIJSKE IN KULTURNE STORITVE
Fotografiranje v ateljeju za dokumente (4 kosi),11.06,11,11.38,11.66,12.36,13.17,14.01, REKREACIJSKE IN KULTURNE STORITVE
Razvijanje digitalnih fotografij 10 x 13 oz. 10 x 15 cm  30 kosov (storitev),5.24,5.19,5.15,5.18,5.45,5.65,6.19, REKREACIJSKE IN KULTURNE STORITVE
Berilo za 4. razred devetletke (kos),17.4,17.32,16.42,16.41,16.61,18.85,19.61, ČASOPISI KNJIGE IN PISALNE POTREBŠČINE
Žepni slovar ang-slo-ang (kos),30,30.06,29.84,30.02,30.01,30.77,37.18, ČASOPISI KNJIGE IN PISALNE POTREBŠČINE
Dnevni časopis (kos),1.46,1.52,1.56,1.63,1.77,1.94,2.06, ČASOPISI KNJIGE IN PISALNE POTREBŠČINE
Tedenski časopis (kos),1.95,1.95,1.95,1.95,2.18,2.7,2.7, ČASOPISI KNJIGE IN PISALNE POTREBŠČINE
Šolski zvezek format A4  50 listov (kos),1.83,1.83,1.71,1.7,1.98,2.34,2.43, ČASOPISI KNJIGE IN PISALNE POTREBŠČINE
Navaden svinčnik (kos),0.7,0.72,0.75,0.94,1.04,1.1,1.07, ČASOPISI KNJIGE IN PISALNE POTREBŠČINE
Tečaj tujega jezika splošni program 40 - 60 ur storitev (oseba),366.18,384.44,385.82,389.52,387.85,406.16,428.63, IZOBRAŽEVANJE
Testenine z omako (porcija),7.54,8.05,8.25,8.59,9.45,10.41,11.02, GOSTINSKE STORITVE
Meni kosilo (porcija),9.4,9.62,10.15,10.47,11.76,12.85,13.85, GOSTINSKE STORITVE
Pica velika (porcija),7.12,7.46,7.75,8.31,9.4,10.39,10.88, GOSTINSKE STORITVE
Solata zelena ali mešana (porcija),2.86,3.02,3.09,3.15,3.5,3.95,4.07, GOSTINSKE STORITVE
Sladoled s smetano (porcija),4.49,4.69,4.91,5.1,5.49,6.14,6.54, GOSTINSKE STORITVE
Palačinke čokoladne ali marmeladne  2 kosa (porcija),3.36,3.58,3.6,3.67,4.14,4.6,4.87, GOSTINSKE STORITVE
Pivo v steklenici ali točeno svetlo (0.5 l),2.79,2.89,2.93,2.98,3.22,3.51,3.67, GOSTINSKE STORITVE
Coca-Cola (2 5 dl),1.95,2.02,2.05,2.15,2.34,2.56,2.76, GOSTINSKE STORITVE
Črna kava espresso (skodelica),1.21,1.26,1.29,1.33,1.48,1.63,1.74, GOSTINSKE STORITVE
Kakovostno vino (l),13.62,15.23,15.77,16.07,17.64,19.52,20.08, GOSTINSKE STORITVE
Mešana zelenjava (porcija),2.69,2.74,2.76,2.9,3.28,3.7,3.93, GOSTINSKE STORITVE
Nočitev v hotelu enoposteljna soba zajtrk in turistična taksa (nočitev),105.84,110.83,105.94,110.25,119.84,128.47,133.61, NASTANITVENE STORITVE
Nočitev v hotelu dvoposteljna soba zajtrk in turistična taksa (nočitev),160.79,163.23,149.53,157.47,169.75,174.83,177.57, NASTANITVENE STORITVE
Moško striženje (storitev),15.07,15.58,16.12,16.85,17.82,19.19,20.0, OSEBNA NEGA
Žensko striženje fen frizura 3 dodatki (storitev),31.67,32.57,33.55,34.28,35.73,37.6,38.54, OSEBNA NEGA
Brivnik za moške 3 vrteče brivne glave ali sistem 3 mrežic (kos),104.91,108.51,92.03,82.41,82.88,95.72,109.51, OSEBNA NEGA
Zobna ščetka (kos),2.28,2.19,2.28,2.34,2.44,2.57,2.83, OSEBNA NEGA
Otroške plenice 7 - 20 kg (50 kosov),9.44,9.49,9.58,9.36,10.16,10.38,10.11, OSEBNA NEGA
Gel za prhanje 200 - 300 ml (l),6.38,6.6,6.87,7.13,8.03,9.14,9.03, OSEBNA NEGA
Toaletno milo tekoče 250 - 500 ml (l),3.58,3.62,3.6,3.64,3.96,4.18,4.21, OSEBNA NEGA
Deodorant roll-on (50 ml),2.46,2.46,2.61,2.52,2.84,3.51,3.3, OSEBNA NEGA
Šampon za normalne lase 200 - 400 ml (l),8.37,8.45,7.41,7.38,8.36,9.49,9.32, OSEBNA NEGA
Zobna pasta 75 - 100 ml (l),23.38,23.76,22.18,22.34,25.07,30.28,31.7, OSEBNA NEGA
Toaletni papir troslojni zavitek 8 - 12 rol (10 rol),0.3,0.32,3.11,3.13,3.84,4.65,4.6, OSEBNA NEGA
