Title;Date;Price (€);Product Name
Eurospin sobota norih cen 24. 10.;24.10.2015;0.35;"Sobota norih cen velja 24. 10. 2015 v vseh trgovinah Eurospin v Sloveniji.
To soboto boste lahko v trgovinah Eurospin ceneje kupili:
– Rumena čebula"
Mercator akcija Moj vikend do 25. 10.;25.10.2015;0.89;"Akcija Moj vikend velja od 22. 10. do 25. 10. 2015 v vseh živilskih prodajalnah Mercator v Sloveniji.
Od petka do nedelje boste v trgovinah Mercator prihranili ob nakupu naslednjih izdelkov:
– Puranji file"
Hofer vikend akcije do 25. 10.;25.10.2015;0.29;"Več kot vikend – Hofer vikend velja v soboto, 24. 10., in v nedeljo, 25. 10. 2015 v vseh trgovinah Hofer v Sloveniji.
Ta vikend boste lahko v trgovinah Hofer ceneje kupili naslednje izdelke po akcijskih cenah:
– Westcliff črni čaj"
Modiana akcija – 20 % popusta do 20. 10.;20.10.2015;;
Perutnina Ptuj vikend akcija do 25. 10.;18.10.2015;2.99;"Akcija velja v soboto, 17. 10. in v nedeljo, 18. 10. 2015 v prodajalnah Perutnina Ptuj v Sloveniji.
Ta vikend boste v trgovinah Perutnina Ptuj našli naslednje akcije:
– Mega sobota, 17. 10. 2015: piščančje peruti"
Pikapolonica vikend akcija do 19. 10.;19.10.2015;;
Lidl super sobota 17. 10.;17.10.2015;0.89;"Akcija velja 17. 10. 2015 v vseh trgovinah Lidl v Sloveniji.
To soboto boste lahko v trgovinah Lidl ceneje kupili:
– piščančja stegna"
Mercator vikend akcija do 18. 10.;18.10.2015;0.74;"Akcija velja od 16. 10. do 18. 10. 2015 v vseh živilskih prodajalnah in franšizah Mercator v Sloveniji ob nakupu drugih izdelkov v vrednosti 5 €.
Od petka do nedelje v trgovinah Mercator akcija naslednjih izdelkov:
– Pečenice Z’dežele"
Eurospin sobota norih cen 17. 10.;17.10.2015;0.55;"Akcija velja 17. 10. 2015 v vseh trgovinah Eurospin v Sloveniji.
To soboto boste lahko v trgovinah Eurospin ceneje kupili naslednje izdelke:
– Hruške Abate"
Hervis vikend akcija Nakupi brez davka;19.10.2015;;
Hofer vikend akcija do 18. 10;18.10.2015;0.35;"Več kot vikend – Hofer vikend traja v soboto, 17. 10., in v nedeljo, 18. 10. 2015 v vseh trgovinah Hofer v Sloveniji.
V soboto in nedeljo boste lahko v trgovinah Hofer prihranili ob nakupu naslednjih izdelkov:
– Polnozrnati toast"
E Leclerc akcija Vesel vikend do 11. 10.;11.10.2015;1.59;"Vesel vikend velja od petka, 09. 10. do nedelje, 11. 10. 2015 v trgovinah E Leclerc Ljubljana in E Leclerc Maribor.
Ta konec tedna v trgovinah E Leclerc:
–	V petek, 09. 10. 2015; vsi izdelki Vegeta 40 % na kartico E Leclerc
–	V soboto, 10. 10. 2015; vsi delikatesni siri Zelene doline 45 % na kartico
–	V nedeljo, 11. 10. 2015; 40 % na kartico ob nakupu vseh sadnih sokov, nektarjev in sokov Frupi
HIT sobota velja 10. 10. 2015 samo v trgovini E Leclerc Ljubljana.
To soboto boste v trgovini E Leclerc Ljubljana še dodatno prihranili ob nakupu:
–	Radič"
Lidl super sobota 10. 10.;10.10.2015;0.69;"Super sobota velja 10. 10. 2015 v vseh trgovinah Lidl v Sloveniji.
To soboto boste lahko v trgovinah Lidl ceneje kupili naslednje izdelke:
– Puranji zrezki, 500 g za"
Eurospin sobota norih cen 10. 10.;10.10.2015;0.45;"Sobota norih cen velja 10. 10. 2015 v vseh trgovinah Eurospin v Sloveniji.
To soboto boste lahko v trgovinah Eurospin ceneje kupili naslednje izdelke:
– Mandarine"
Perutnina Ptuj vikend akcija do 11. 10.;11.10.2015;7.88;"Akcija velja v soboto, 10. 10., in v nedeljo, 11. 10. 2015 v vseh prodajalnah Perutnina Ptuj v Sloveniji.
Ta vikend v trgovinah Perutnina Ptuj:
– MEGA sobota, 10. 10. 2015: panirani piščančji file, zamrznjeno, 1 kg + 1 kg gratis za"
Hervis vikend akcija do 12. 10.;12.10.2015;24.99;"Hervis akcija velja od petka, 09. 10. do ponedeljka, 12. 10. 2015 v športnih trgovinah Hervis v Sloveniji.
Od petka do ponedeljka Vas v trgovinah Hervis čaka več kot 10.000 parov obutve znižane do kar – 50 %. Med drugim boste lahko ceneje kupili:
– Berlinom Vintage JR otroška športna modna obutev"
Sportina akcija 20 % na pletenine in puloverje;11.10.2015;;
Mercator vikend akcija do 11. 10.;11.10.2015;0.89;"Akcija velja od petka, 09. 10. do nedelje, 11. 10. 2015 v vseh živilskih trgovinah in franšizah Mercator v Sloveniji.
Od petka do nedelje boste v trgovinah Mercator ceneje kupovali naslednje izdelke:
– Piščanec Mercator, pakiran za"
Hofer vikend akcija do 11. 10.;11.10.2015;0.39;"Več kot vikend – Hofer vikend velja v soboto, 10. 10., in v nedeljo, 11. 10. 2015 v vseh trgovinah Hofer v Sloveniji.
V soboto in nedeljo boste lahko v trgovinah Hofer ceneje kupili naslednje izdelke:
– mint čokoladice"
Mana kupon 5€;13.10.2015.;25.0;Pri nakupu nad
E Leclerc hit sobota 3. 10.;3.10.2015;0.83;"Akcija hit sobota velja 03. 10. 2015 v trgovini E Leclerc v Ljubljani.
To soboto v trgovini E Leclerc Ljubljana akcija naslednjih izdelkov:
– Limone"
Pikapolonica vikend akcija do 5. 10.;5.10.2015;;
Eurospin sobota norih cen 3. 10.;3.10.2015;0.85;"Sobota norih cen velja 03. 10. 2015 v vseh trgovinah Eurospin v Sloveniji.
To soboto boste lahko v trgovinah Eurospin ceneje kupili naslednje izdelke:
– Limone, nepakirane"
Lidl super sobota 3. 10.;3.10.2015;0.89;"Super sobota velja 03. 10. 2015 v vseh trgovinah Lidl v Sloveniji.
To soboto boste lahko v trgovinah Lidl ceneje kupili naslednje izdelke:
– Piščanec 1150 g za"
Perutnina Ptuj vikend akcija do 4. 10.;4.10.2015;5.29;"Akcija velja v soboto, 03. 10., in v nedeljo, 04. 10. 2015 v trgovinah Perutnina Ptuj v Sloveniji.
Ta konec tedna v trgovinah Perutnina Ptuj:
– MEGA soboto, 03. 10. 2015; puranji file, sveže, vakuum, cca. 2, 28 kg"
Sportina akcija – 25 % na vse jeans hlače;4.10.2015;;
Mercator vikend akcija do 4. 10.;4.10.2015;1.29;"Akcija Moj vikend velja od 02. 10. do 04. 10. 2015 v vseh živilskih trgovinah in franšizah Mercator v Sloveniji.
Ta konec tedna v trgovinah Mercator akcija naslednjih izdelkov:
– Mandarine"
