Title;Date;Price (€);Product Name
Spar in Interspar akcija za začetek tedna do 23.1.;23.01.2024.;0.99;Banane 1kg
Mercator akcija za začetek tedna do 23.1.;23.01.2024.;2.29;Piščančja bedra PP Natur, pakirana 440g, Perutnina Ptuj
Mercator akcija za začetek tedna do 23.1.;23.01.2024.;2.29;Cvetača, cena za kos
Mercator akcija za začetek tedna do 23.1.;23.01.2024.;7.99;Pečena piščančja prsa, postrežna, cena za kg
Mercator akcija za začetek tedna do 9.1.;09.01.2024.;2.49;Belo grozdje pakirano 500g, namesto
Mercator akcija za začetek tedna do 9.1.;09.01.2024.;3.19;Puranje mleto meso Vindon, 500g
Mercator akcija za začetek tedna do 9.1.;09.01.2024.;9.99;Pečena svinjska rebra 1kg
Mercator akcija za začetek tedna do 12.12.;12.12.2023..;4.79;Puranji zrezki iz fileja PP Natur, pakirani 400g Perutnina Ptuj, namesto
Mercator akcija za začetek tedna do 12.12.;12.12.2023..;1.99;Granatno jabolko 1kg, namesto
Mercator akcija za začetek tedna do 12.12.;12.12.2023..;1.79;Jadranske sardele Adria, zamrznjene 1kg, namesto
Mercator akcija za začetek tedna do 5.12.;05.12.2023.;3.99;Čevapčiči v lepinji, postreženi, cena za kost
Mercator akcija za začetek tedna do 5.12.;05.12.2023.;1.69;Brokoli, pakiran 500g, cena za kos, namesto
Mercator akcija za začetek tedna do 5.12.;05.12.2023.;2.99;Mleto perutninsko meso PP Natur, pakirano, 450g Perutnina Ptuj, namesto
Mercator akcija za začetek tedna do 28.11.;28.11.2023.;3.99;Mesni pripravek iz mletega govejega mesa AVE, pakiran 450g
Mercator akcija za začetek tedna do 28.11.;28.11.2023.;1.19;Avokado kos
Mercator akcija za začetek tedna do 28.11.;28.11.2023.;4.69;Sir edamec, Mercator, pakiran 800g
Mercator akcija za začetek tedna do 28.11.;28.11.2023.;3.35;Sosedov kruh
Mercator akcija za začetek tedna do 14.11.;14.11.2023.;1.39;Mango cena za kos, namesto
Mercator akcija za začetek tedna do 14.11.;14.11.2023.;3.49;Piščančji file PP Natur, mala mišicaa, izabrana kakovost, pakiran 400g Perutnina Ptuj, namesto
Mercator akcija za začetek tedna do 14.11.;14.11.2023.;3.35;Sosed hlebec, pšenični mešani s semeni, pekarna Grosuplje 700g, namesto
Mercator akcija za začetek tedna do 7.11.;07.11.2023.;5.99;Pečena svinjska krača 1kg, namesto
Mercator akcija za začetek tedna do 7.11.;07.11.2023.;1.49;Buče hokaido 1kg, namesto
Mercator akcija za začetek tedna do 7.11.;07.11.2023.;4.49;Piščančji trakci iz fileja prsi Pivka 500g, namesto
Mercator akcija za začetek tedna do 7.11.;07.11.2023.;3.19;Kruh Mainar, namesto
Muller akcija -20% na vse igrače in igre;28.10.2023.;15.0;"Muller akcija -20% na vse igrače in igre
Pridobite 20% popust na vse igrače ob nakupu nad"
Muller akcija -20% na vse igrače in igre;28.10.2023.;15.0;Popust velja od 23.10. do 28.10.2023. oz. razprodaje zalog ob nakupu nad
